post_id,account_a,account_b,account_pair,post_timestamp,gender_a,gender_b,stance_a,stance_b,gender_pair,stance_pair,same_stance,same_gender,opposite_stance,post_classification,post_hashtags_found,post_total_likes,post_publisher_is_verified,post_comments_count,n_comments_seen_a,n_comments_seen_b,n_comments_shared,n_comments_unique_a,n_comments_unique_b,V,T,variation_proportion,n_discordant_pairs,n_rank_pairs,rank_variation_proportion,avg_comment_length_a,avg_comment_length_b,post_age_days,log_post_age_z,log_comments_z,log_likes_z
DYDAXTCFcpe,male_prolife,male_neutral,male_prolife_male_neutral,2026-05-07T18:09:03.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,pro-choice,abortion;prochoice;feminist,8100,True,563,5,5,2,3,3,6,10,0.6,1.0,1.0,1.0,420.6,150.2,79.69125991114583,-0.8752232000743543,0.9469542483051522,0.7553943617963131
CfSRR34vKpz,male_prolife,male_neutral,male_prolife_male_neutral,2022-06-26T22:36:00.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,pro-choice,linkinbio;roevwade;proabortion;prochoice;abortionisessential;liberateabortion;bansoffourbodies;abortionisfreedom;abortion,3000,True,22,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,147.0,147.0,1490.5058779667015,1.4652819312607979,-1.0106940863087486,0.22912146893372445
DZoJbIWu1UA,male_prolife,male_neutral,male_prolife_male_neutral,2026-06-16T00:56:20.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,pro-life,prolife;abortion;womensrights;politics;fyp,1800,True,102,5,5,2,3,3,6,10,0.6,0.0,1.0,0.0,164.6,135.0,40.408424262997684,-1.4105354885218315,-0.09338844973317686,-0.04147815951897606
DJm_YlwRG_H,male_prolife,male_neutral,male_prolife_male_neutral,2025-05-13T21:42:14.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,pro-choice,paidparentalleave;familyplanning;universalhealthcare;universalchildcare;childcare;wic;antichoice;prochoiceisprolife;prochoice;womensrights;womensrightsarehumanrights,37900,False,756,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,52.8,52.8,438.5432159296643,0.4849154492273879,1.1270269836511166,1.5731179315193382
DF8IqCLNb5n,male_prolife,male_neutral,male_prolife_male_neutral,2025-02-11T16:43:06.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,ambiguous,prolifegeneration;fürdasleben;liebevonanfangan;schwangerschaftsabbruch;prolife;münchnermarsch;prochoice;mybodymychoice;reproduktiverechte;prolife,466,False,406,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,247.6,247.6,529.7509474111458,0.6362118781286373,0.7473439042121451,-0.7568017771353512
DF2yNSBRXs4,male_prolife,male_neutral,male_prolife_male_neutral,2025-02-09T14:49:22.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,ambiguous,secularprolife;shoutyourabortion;abortiondebate;abortionregret;coercedabortion,559,False,35,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,77.4,77.4,531.8299288926273,0.6393487517892262,-0.7365705061381995,-0.6605569823960233
DRtEMZTgAsc,male_prolife,male_neutral,male_prolife_male_neutral,2025-12-01T02:31:28.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,ambiguous,abortion;prolife;prochoice;liberal;feminism;conservative,7200,True,312,5,5,4,1,1,2,10,0.2,1.0,6.0,0.16666666666666666,53.2,45.8,237.34235944818286,-0.00617061514090119,0.5866661818195041,0.692982196001035
Cbh7wXeDCsN,male_prolife,male_neutral,male_prolife_male_neutral,2022-03-25T14:30:15.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,abortion,,523,True,32,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,39.8,39.8,1583.8432043555904,1.513986469415391,-0.7898083498925279,-0.6957702529729742
DYzrEjyjuBA,male_prolife,male_neutral,male_prolife_male_neutral,2026-05-26T15:45:47.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,pro-life,prolife;abortion,113,False,10,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,42.4,42.4,60.790750651886576,-1.0893627270329564,-1.461993429524915,-1.5041152461220721
DOCT_MQE0Ee,male_prolife,male_neutral,male_prolife_male_neutral,2025-08-31T22:27:49.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,pro-choice,feminist;feminism;thefeministfrontline;4bmovement;4b;mybodymychoice;womensrights;womensrightsarehumanrights;freewomen;strongwoman;feminismquotes;feministquotes;prochoice;abortion;abortionishealthcare;abortionright,64599,False,238,5,5,4,1,1,2,10,0.2,0.0,6.0,0.0,95.2,91.0,328.5115608370718,0.25372668596187403,0.42162619243619176,1.8557123725745088
DVE6ymdEnOy,male_prolife,male_neutral,male_prolife_male_neutral,2026-02-22T22:25:28.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,abortion,progressivechristianity;maga;christiannationalism,6900,False,426,5,5,4,1,1,2,10,0.2,0.0,6.0,0.0,125.6,100.6,153.5131927815162,-0.3539501203253141,0.7766948181132416,0.6704304860754682
C2zyclvLGNw,male_prolife,male_neutral,male_prolife_male_neutral,2024-02-01T15:02:50.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,abortion,,4800,True,202,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,50.4,50.4,905.8205770407756,1.0660143267881275,0.3217371726560557,0.47813854692930835
DT391qJjphw,male_prolife,male_neutral,male_prolife_male_neutral,2026-01-24T01:09:46.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,pro-life,prolife,178,False,8,5,5,5,0,0,0,10,0.0,2.0,10.0,0.2,12.8,12.8,183.39909555929398,-0.2120688904420513,-1.5847736394319445,-1.2650038196937576
DOREfeJAAcl,male_prolife,male_neutral,male_prolife_male_neutral,2025-09-06T16:00:00.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,ambiguous,prolife;prochoice;abortion;prolifeadvocacynetwork,138,False,20,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,508.4,508.4,322.7808779667014,0.23964916258222868,-1.0663550984858932,-1.3990370935572936
DRmyG9HE0ow,male_prolife,male_neutral,male_prolife_male_neutral,2025-11-28T15:59:38.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,abortion,abortion;lawyer;laws,4900,True,64,5,5,4,1,1,2,10,0.2,3.0,6.0,0.5,39.0,37.2,239.78113259633102,0.0019979177755465732,-0.375048174267652,0.4890636995804379
CxjBbQTy4pS,male_prolife,male_neutral,male_prolife_male_neutral,2023-09-23T20:09:40.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,pro-choice,shoutyourabortion;prochoice;bansoffourbodies;stillweriseloves,16900,True,71,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,9.2,9.2,1036.6074983370718,1.1741191433685818,-0.312468939491327,1.145119429653432
CiLSX4FMW6e,male_prolife,male_neutral,male_prolife_male_neutral,2022-09-06T19:05:07.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,abortion,,546,False,16,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,106.0,106.0,1418.6523247259606,1.42566443453488,-1.195644404111573,-0.6730046820524979
Ch_LPE6OPWN,male_prolife,male_neutral,male_prolife_male_neutral,2022-09-02T02:11:48.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,abortion,,1600,True,18,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,13.0,13.0,1423.3560168555903,1.4283185804297627,-1.1275910852429407,-0.10386172154905561
CTYBIiXPQUW,male_prolife,male_neutral,male_prolife_male_neutral,2021-09-03T21:53:38.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,abortion,,390,False,20,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,31.0,31.0,1786.5352992629978,1.6105561172416465,-1.0663550984858932,-0.8509342407267914
DZLiO5vuvem,male_prolife,male_neutral,male_prolife_male_neutral,2026-06-04T22:15:03.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,pro-life,abortion;politics;christian;atheist;debate,52700,False,1700,5,5,0,5,5,10,10,1.0,,,,45.8,88.4,51.5204265778125,-1.2197926991972017,1.6223852200436555,1.7478230476011807
DN1iVFVWiC0,male_prolife,male_neutral,male_prolife_male_neutral,2025-08-26T23:22:32.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,ambiguous,jesus;christ;christian;methodist;baptist;protestant;catholic;orthodox;god;evangelical;church;bible;defenderofthefaith;catholicmoms;catolicos;pray;lettersfromstpaul;meme;memes;christianmeme;christianmemes;christianity;catholicism;abortion;prolife;prochoice;womensrights;abortionrights;abortionishealthcare,3400,False,207,5,5,5,0,0,0,10,0.0,0.0,10.0,0.0,59.4,59.4,333.4735631518866,0.26571955445199275,0.33662474963671973,0.2954322003325272
DSWNNo3DMkV,male_prolife,male_neutral,male_prolife_male_neutral,2025-12-17T01:58:32.000Z,male,male,prolife,neutral,male_male,neutral_prolife,False,True,False,pro-life,prolife;pennsylvania;abortion;pray,935,False,36,5,5,5,0,0,0,10,0.0,4.0,10.0,0.4,119.6,119.6,221.36522981855325,-0.06184609400654417,-0.7198064649596585,-0.3883276237453195
